question,type,answer1,answer2,answer3,answer4,level,comment
長野で食べた美味しいちゃんを2つ選んでください。,two_answer,おやき,くれ葉,笹寿司,山賊焼,4,"「おやき」と「くれ葉」です。
昔からお米の代用品として食べられてきた物で、小麦粉で作られた皮の中身は野沢菜や切り干し大根などの野菜やきのこ、餡など様々な具がぎっしり詰まっています。"
ぬこたんのカメラバッグについているバッジはどれでしょう？,one_answer,「カエルを救おう」バッジ,「カエルを称えよう」バッジ,「カエルを愛でよう」バッジ,「カエルを食べよう」バッジ,4,"「カエルを救おう」バッジです。
 カエル年カエルの日に配布されたそうです。"
仙台で食べた銘菓はどれでしょう？,one_answer,萩の月,ずんだもち,喜久福,支倉焼,4,"「萩の月」です。
まんまるお月様みたいなフワフワの生地の中に、
 なめらかなカスタードクリーム。
 何度食べても美味しいそうです。"
ぬこたんの一眼レフの製品名はどれでしょう？,one_answer,Canon EOS Kiss X2,PENTAX K-30,Nikon D7000 18-105,CANON EOS 60D,3,"「Canon EOS Kiss X2」です。
入門者にはすごく扱いやすいと思います。
 軽量なので女性にもお勧めとのことです。"
道成寺蛇ノ獄で有名な道成寺の銘菓はどれでしょう？,one_answer,つりがね饅頭,かげろう,柚もなか,はまゆう,2,"「つりがね饅頭」です。
その名の通り、清姫が中に隠れた安珍もろとも
 焼き尽くしてしまった、
 件の釣り鐘を模したお菓子です。"
福岡で食べた銘菓はどれでしょう？,one_answer,あまおう,ひよこ饅頭,千鳥饅頭,にわかせんぺい,3,"「あまおう」です。
しっかり味が濃く、甘くてジューシーで
 最高の味わいです！色もとっても綺麗で、ツヤツヤピカピカ。まるで宝石の様だそうです。"
島根で食べた美味しいちゃんを2つ選んでください。,two_answer,公栗庵,大風呂敷,若草,山川,4,"「公栗庵」と「大風呂敷」です。
何と言ってもパッケージが可愛いですよね！
 気になる中身は、ほくほく感の残る餡の中に
 大きな栗がまるごと入ったお菓子で、
 とても美味しかったですとのことです。"
ぬこたんのカメラのレンズの製品名を2つ選んでください。,two_answer,CANON EF50mm F1.4 USM,TAMRON AF18-270mm,シグマ　17-50mm,CANON　EF70-200mm,4,"「CANON EF50mm F1.4 USM」と「TAMRON AF18-270mm」です。
どちらもとてもお気に入りで、前者の単焦点レンズはボケ味を生かしたり、
 工夫次第で色々な使い方ができるそうです。"
四日市で食べた美味しいちゃんはどれでしょう？,one_answer,なが餅,安永餅,アイス饅頭,関の戸,4,"「なが餅」です。
450年前に誕生した歴史ある銘菓だそうで、表面を焼いた香ばしくて
 柔らかいお餅の中に、絶妙な甘さの餡が入った、シンプルかつ奥深い
 味わいのお菓子です。
 薄くのばしてあるせいか、
 お餅なのに軽い食感でたくさん
 食べられちゃったそうです。"
ぬこたんがブログで紹介したことのある好きな美術家はどれでしょう？,one_answer,岡本太郎,香月泰男,絹谷幸二,小磯良平,4,"「岡本太郎」です。
中高生時代、シュルレアリスムや
 ダダイズムなどに興味を持ち、その潮流を辿り
 色々と書物を漁っていた折に出会ったそうです。"
ぬこたんが使っている電子レンジの特徴はどれでしょう？,one_answer,スチーム式オーブンレンジ,くるくる回転する電子レンジ,,,1,"「スチーム式オーブンレンジ」です。
長年使用していた
 オーブンレンジの調子が悪くなり
 思い切ってスチーム式の物に
 買い換えましたそうです。"
ぬこたんがブログで紹介した所持している料理系Nintendo DSソフトはどれでしょう？,one_answer,世界のごはん,クッキングママ3,わたしのケーキ屋さん ～ハッピーパティシエライフ～,夢色パティシエール マイスイーツ☆クッキング,2,"「世界のごはん」です。
世界各国の料理のレシピがたくさん掲載されていて
 楽しいです。今度何か作ってみようかなあ♪とのことです。"
ぬこたんがブログで紹介した所持している推理・アドベンチャー系Nintendo DSソフトはどれでしょう？,one_answer,犬神家の一族,花より男子 恋せよ女子！,ひぐらしのなく頃に,八つ墓村,1,"「犬神家の一族」です。
おなじみ、OPに「相剋」が、EDに「慟哭」が使われていますね。"
ぬこたんが購入した自転車の特徴はどれでしょう？,one_answer,小さい径の小振りだけど変速ギア付きで軽快,前後に大きなカゴがあってたくさんお買い物が出来る,黒くて無骨だが頑丈,極限まで軽量化したスポーツ志向,2,"「小さい径の小振りだけど変速ギア付きで軽快」です。
あのお菓子屋さんにもこのパン屋さんにも
 すいーっと行けちゃう！と思って
 今からわくわくとのことです。"
ぬこたんのカメラのレンズの製品名を2つ選んでください。,two_answer,CANON EF-S18-55mm F3.5-5.6 IS,CANON EF-S60mm F2.8マクロUSM,TAMRON SP 150-600mm F/5-6.3 Di VC USD,ペンタックスFA43mmF1.9 Limited,4,"
「CANON EF-S18-55mm F3.5-5.6 IS」と「CANON EF-S60mm F2.8マクロUSM」です。
全部で5つのレンズを所持していることが明らかになっています。"
ぬこたんの2つ目に購入したカメラはどれでしょう？,one_answer,CANON EOS 40D,ニコン D4,パナソニック LUMIX DMC-GX7C,SONY α6000,3,"「CANON EOS 40D」です。
しっかり撮りたい時の頼れる愛機とのことです。"
2009年のぬこたんの年始の過ごし方はどれでしょう？,one_answer,"私はお友達と初詣に行って
 お雑煮を頂いたり
 ちょっとのんびり過した。",溜まっていたホラー映画を一気に観た。,まさか海外で年を越すことになるとは！,年始早々ツアーのためのリハーサルで慌しく過ごした。,4,"「私はお友達と初詣に行って
お雑煮を頂いたり
ちょっとのんびり過した。」です。
陰陽座だってちゃんと年末年始休業はあるんです。"
ぬこたんのパンの好みはどれでしょう？,one_answer,全粒粉やライ麦粉などが入った野趣溢れるパン。,甘みを重視したスウィーツパン。,シンプルイズベスト、食パン。,イーストたっぷり、よく発酵させたパン。,1,"「全粒粉やライ麦粉などが入った野趣溢れるパン」です。
基本的に自然志向、素材の味を重視する傾向にあるようですね。"
ぬこたんがお花見の時期に見たホラー映画はどれでしょう？,one_answer,SAW5,サスペリア,リング,悪魔の追跡,4,"「SAW5」です。
花見の時期でもホラー。それがぬこたんです。"
ぬこたんがブログで紹介した大好きな植物はどれでしょう？,one_answer,ツルニチニチソウ,チョウジソウ,ミフクラギ,マンデヴィラ,4,"「ツルニチニチソウ」です。
近所の公園でこれが咲き始めると「春だあ！」とワクワクするそうです。
"
ぬこたんが取り組んでいる運動はどれでしょう？,one_answer,Wii fitを使ったストレッチ,Nike+を使ったランニング,スイミング,クライミング,1,"「Wii fitを使ったストレッチ」です。
運動音痴として名高い（？）ぬこたんでも、体を動かすとシャキッと元気が漲ってくるのが分かるそうです。"
ぬこたんが学生のころ通い詰めていたとブログで述べている施設はどれでしょう？,one_answer,古書店,競馬場,古着屋,ゲームセンター,1,"「古書店」です。
店主のおじさんとは「君が好きそうなの入ったよ」とよく取り置いてくれるほどの仲だったようです。"
ぬこたんが歌録りするときに絶対に忘れちゃいけないものはどれでしょう？,one_answer,甘い物,辛い物,酸っぱい物,しょっぱい物,1,"「甘い物」です。
ちょこっと食べるだけでかなりパワーが回復するのでまるで「ドラゴンボール」に出てくる「仙豆」の如き有り難さとのことです。"
ぬこたんはレコーディング中は食事はどのように済ますでしょう？,one_answer,簡単なお弁当を作って食べる,甘いお菓子だけで済ます,外に食べに行く,我慢する,1,"「簡単なお弁当を作って食べる」です。
関口台スタジオ周辺はあまり食べるところありません、、、"
ぬこたんは渋谷109に、、、,one_answer,入ったことがなかった,しょっちゅう通っている,,,1,"「入ったことがなかった」です。
ちっひーに連れられキラキラでパワフルな空間にドキドキしつつも、楽しく過ごしたそうです。"
ぬこたんの好きなホラー映画監督「ギレルモ・デル・トロ」の作品でブログで観たと紹介している映画を2つ選んでください。,two_answer,パンズ・ラビリンス,ヘルボーイ/ゴールデン・アーミー,サスペリア,リング,4,"「パンズ・ラビリンス」と「ヘルボーイ/ゴールデン・アーミー」です。
其処に秘められた深厚なテーマと、CGに頼りすぎない丁寧な映像作りとが相俟って、胸に迫る物があったそうです。"
ぬこたんが愛用しているマグカップはどれでしょう？,one_answer,ARABIA ムーミンシリーズ,くまモン マグ アップ,ハリオ 香りマグカップ,KINTO マグディル ネコ,2,"「ARABIA ムーミンシリーズ」です。
全部で11種類所持しているそうです。"
ぬこたんが愛用しているマグカップ「ムーミンシリーズ」。特によく使うマグカップを2つ選んでください。,two_answer,ヘムレンさん,ミムラ姉さん,ムーミンパパ,ニョロニョロ,3,"「ヘムレンさん」と「ミムラ姉さん」です。
「ムーミンパパ」は兄上、「ニョロニョロ」はｶﾙｶｿ氏とのこと。"
"難しい四文字熟語？はっ！もしかして陰陽座ニュー・アルバム「＊＊＊＊」！？
　に入る美味しいちゃんの名前はどれでしょう？",one_answer,海南鶏飯,焼肉定食,麻婆豆腐,木瓜牛奶,2,"「海南鶏飯」です。
…そんな訳はありませぬ（笑）。「海南鶏飯」とはシンガポール風のチキンライスです♪"
ぬこたんはクッキー作りを誰から教わったでしょう？,one_answer,母,祖母,祖父,兄上,1,"「母」です。
母のクッキーは胡麻やパセリが入った自然指向な物で、とっても美味しかったとのことです。"
ぬこたんが七夕になると思い出す宮沢賢治の著作はどれでしょう？,one_answer,銀河鉄道の夜,風の又三郎,ポラーノの広場,グスコーブドリの伝記,1,"「銀河鉄道の夜」です。
お話の中で、主人公ジョバンニが授業中に天の川についての問題に答えられないという場面があるので、「天の川」という言葉を見聞きする機会の多い七夕が来るとつい思い出してまた読み返したくなるそうです。"
ぬこたんがブログで紹介したことのあるプレイしたことのあるドラクエはどれでしょう？,one_answer,ドラクエ9,ドラクエ7,ドラクエ8,ドラクエ10,2,"「ドラクエ9」です。
ぬこたんだけまだガナン帝国城でウロウロしているそうです。"
ぬこたんが再放送を見て大笑いしてDVDを揃えたお笑い番組はどれでしょう？,one_answer,水曜どうでしょう,ダウンタウンDX,SMAP×SMAP,ぐるぐるナインティナイン,2,"「水曜どうでしょう」です。
ツアーに持参して、息抜きに見ちゃおうかな〜なんて思っていたそうです。"
日記は日記でもぬこたんが継続して続けていた日記はどれでしょう？,one_answer,ごはん日記,読書日記,発声日記,散歩日記,2,"「ごはん日記」です。
ただ単に日付とお天気とその日食べたもの、
 余裕があれば印象的な出来事をノートに書き記しているだけなんですけど、この「ごはん日記」をつけている方は結構多いらしく瞬火兄上の敬愛する作家、故・山田風太郎さんも実践していらっしゃった事があるんだとか。健康管理にも繋がるし、ちょっと楽しいですよねとのことです。"
ぬこたんは握手会をしたことがあるでしょうか？,one_answer,ある,ない,,,1,2009年に「HOT ROCKIN'」 及び「HOT ROCKIN' TURBO」の公開録音、そしてサイン＆握手会を行っています。一体何をしていたんだ私は、、、、(；´Д｀)
ぬこたんが好きな季節はどれでしょう？,one_answer,夏,春,秋,冬,1,"「夏」です。
夏生まれで、暑いのは好きですが日差しには弱いという属性のようです。"
熊本で食べた美味しいちゃんを2つ選んでください。,two_answer,馬刺し,辛子高菜,太平燕,つぼん汁,4,"「馬刺し」と「辛子高菜」です。
熊本出身のローディー氏の差し入れとのことです。"
函館で食べた美味しいちゃんを2つ選んでください。,two_answer,イカ刺し,いくら丼,いかめし,イカそうめん,4,"「イカ刺し」と「いくら丼」です。
とんでもなく美味しかったとのことです。"
讃岐饂飩ツアー2009で食べた美味しいちゃんはどれでしょう？,one_answer,しょうゆうどん,餡餅雑煮,鮒のてっぱい,どじょう汁,3,"「しょうゆうどん」です。
どのお店で何度食べても、食べる度に感動の美味しさ！やっぱり讃岐饂飩は最高とのことです。"
ぬこたんが史上初、2回のお色直し(Tシャツ着替え)を行った場所はどこでしょう？,one_answer,神戸公演,大阪公演,仙台公演,長野公演,3,"「神戸公演」です。
伝説のライブとなったことでしょう。"
ぬこたんがハードパンを焼くときの製法はどれでしょう？,one_answer,ポーリッシュ法,フーリッシュ法,ガーリック法,ギャリック法,2,"「ポーリッシュ法」です。
少ないイーストで前日から一晩かけて発酵させた水種を使うそうです。"
2009年新たに購入したカメラのレンズはどれでしょう？,one_answer,SIGMA 18-50mm F2.8 EX DC MACRO,CANON　EF70-200mm,TAMRON SP 150-600mm F/5-6.3 Di VC USD,ペンタックスFA43mmF1.9 Limited,4,"「SIGMA 18-50mm F2.8 EX DC MACRO」です。
さすが2.8通しは違います！写真ライフが更に楽しくなりましたー！とのことです。"
ぬこたんの母親の実家はどこでしょう？,one_answer,滋賀,京都,大阪,奈良,3,"「滋賀」です。
子供の時から数え切れないくらい遊びに行っていたそうです。"
ぬこたんのご両親は、、、,one_answer,旅行好き,料理好き,運動好き,ネット好き,2,"「旅行好き」です。
ぬこたんの携帯にはチュニジアのカルタゴ、ヨルダンのペトラなど自分では行った事もない世界遺産の写真が保存されているそうです。"
ぬこたん2010年の新年の抱負はどれでしょう？,one_answer,インプットの多い年にすること,アウトプットの多い年にすること,スループットの多い年にすること,オーバープットの多い年にすること,2,"「インプットの多い年にすること」です。
一人旅をしたりたくさん映画を見たり美味しい物を食べたり出来たらいいなあ、なんて思っているそうです。"
2010年にぬこたんが海外旅行した国はどこでしょう？,one_answer,タイ,マレーシア,ベトナム,台湾,2,"「タイ」です。
「旅人になりたい」宣言をしたぬこたん、手始めにタイへ行って参りましたそうです。"
2010年にぬこたんが海外旅行した国「タイ」は誰と一緒に行ったでしょう？,one_answer,両親,ひとり,兄上,けろやん,2,"「両親」です。
両親はタイを何度も訪れているとのことです。"
2010年にぬこたんが海外旅行した国「タイ」の観光の目玉はどれでしょう？,one_answer,アユタヤ遺跡,トゥクトゥク,ワット・プラケオ,キンリー,3,「アユタヤ遺跡」です
ぬこたんは陰陽座メンバーで何番目にRUSH好き？,one_answer,2番目,1番目,3番目,4番目,2,"「2番目」です。
1番目はもちろん兄上です。"
ホラー仲間「ちっひー」と観にいった映画はどれでしょう？,one_answer,パラノーマル・アクティビティ,サスペリア,リング,悪魔の追跡,4,"「パラノーマル・アクティビティ」です。
最近お馴染みのドキュメント風な手法の映画でしたが、テーマが古典的な所が良かったとのことです。"
ぬこたんの誕生日はいつでしょう？,one_answer,7月16日,8月31日,12月25日,7月1日,1,「7月16日」です。
ぬこたんの歌唱法は、、、,one_answer,自己流です。,オペラのトレーナー仕込みです。,,,1,"「自己流」です。
今までいくら歌っても声が枯れたりした経験が無いので丈夫だという自負はありましたそうです。"
鳥取で手に入れたお気に入りのお茶はどれでしょう？,one_answer,はま茶,ほうじ茶,煎茶,玉露,2,"「はま茶」です。
ほんのりとした甘味と独特の風味が美味しかったそうです。"
サブ機として購入したカメラはどれでしょう？,one_answer,ライカ D-LUX4,SONY サイバーショット DSC-WX300,CANON PowerShot SX700 HS,ペンタック スPENTAX MX-1,2,"「ライカ D-LUX4」です。
カメラなど機器のデザインは、なるべくシンプルで無骨な方が好きだそうです。"
岡山で食べた美味しいちゃんはどれでしょう？,one_answer,マスカット,オレンジ,リンゴ,キュウイ,3,"「マスカット」です。
種が無く皮ごと食べられる品種で、ものすごく美味しかったですとのことです。"
ぬこたんの好きな金沢出身の作家はどれでしょう？,one_answer,泉鏡花,皆川博子,宮沢賢治,太宰治,3,「泉鏡花」です。
ぬこたんは寒さに強い？,one_answer,非常に弱い,やや弱い,やや強い,非常に強い,2,"「非常に弱い」です。
夏生まれなので。"
宮崎で食べた美味しいちゃんはどれでしょう？,one_answer,マンゴー,オレンジ,リンゴ,キュウイ,3,"「マンゴー」です。
甘くて濃厚でびっくりするぐらい美味しかったそうです。"
2010年ぬこたんのクリスマス・イブの過ごし方はどれでしょう？,one_answer,MoterheadとHawkwindを観賞していた。,ネオンのあるところにいた。,悪魔のいけにえを観賞していた。,仕事していた。,3,"「MoterheadとHawkwindを観賞していた」です。
筋金入りのメタラーですね。"
2011年のぬこたんの手帳のテーマはどれでしょう？,one_answer,蛙,猫,キリン,羊,3,"「蛙」です。
そこそこ大きめでかつ薄い物が一番自分向きだという事が判明したそうです。"
ぬこたんが憧れ、食べ比べ大会も行われたチュニジア・ウクライナ産のお菓子はどれでしょう？,one_answer,ハルヴァ,ジャレビ,チョルバ,サフラン,3,「ハルヴァ」です。
ぬこたんが好きな郷土料理や食文化を紹介していくアメリカのTV番組はどれでしょう？,one_answer,No Reservations,怪しい伝説,ドリームカー誕生,Man vs Wild,3,"「No Reservations」です。
単なるグルメリポートではなく、人々の生活や文化にもスポットを当てた、かなり興味深い内容になっているそうです。"
ぬこたんは鉄道に関して、、、,one_answer,やや鉄子,かなり鉄子,あまり鉄子ではない,伝説の鉄子だった,2,"「やや鉄子」です。
申し訳無いことに鉄道に関する知識は殆どありません。ただ、電車と線路のある風景や、電車に揺られて旅する雰囲気が大好きとのことです。"
ぬこたんを「やや鉄子」にした電車を2つ選んでください。,two_answer,JR小浜線,一畑電車,小田急線,秩父鉄道,3,「JR小浜線」と「一畑電車」です
ぬこたんが好きな関西の喫茶店の定番メニューは？,one_answer,ミックスジュース,野菜ジュース,フルーツジュース,トマトジュース,2,"「ミックスジュース」です。
お店によって多少の差や例外はあれどほぼ決まった味で、牛乳とバナナをベースに桃、みかん、パイナップルなどのフルーツ（缶詰の場合が多い）をミキサーで混ぜた物を「ミックスジュース」と呼ぶのだそうです。"
ぬこたんが歌う前に行っていることは？,one_answer,体をほぐす,瞑想する,甘いものを食べる,本を読む,3,"「体をほぐす」です。
ライブ前にはメンバーみんなで「たけのこ体操」をしているそうです。"
ぬこたんがステージで使っているコンデンサーマイクはどれでしょう？,one_answer,SHURE KSM9,SHURE SM81-LC,オーディオテクニカ AT4021,オーディオテクニカ AE5100,3,"「SHURE KSM9」です。
陰陽座での様々な歌唱表現を細密に伝えてくれる、頼れる相棒とのことです。"
ぬこたんがレコーディングで使っているマイクはどれでしょう？,one_answer,NEUMANN U47 Tube,Oktava ML-52-01,SE Electronics R1,MXL 190 Large Diaphragm,3,"「NEUMANN U47 Tube」です。
ヴィンテージのマイクですね。"
ぬこたんが好きなアイス「爽」の味はどれでしょう？,one_answer,ヨーグルト味,バニラ味,チョコマーブル味,チョコミント味,3,"「ヨーグルト味」です。
食感が爽やかですごく美味しいんですとのことです。"
ぬこたんのキングレコードから発売された愛して止まないホラー映画はどれでしょう？,one_answer,ヘルレイザー,悪魔のいけにえ,サスペリア,リング,2,"「ヘルレイザー」です。
学校の美術の時間に木彫をやった際、物語に登場する重要アイテム「ルマルシャンの箱」を制作した事もあったそうです。"
ぬこたんの視力は、、、、,one_answer,悪いです。,いいです。,,,1,"「悪い」です。
ライブでは裸眼で、レコーディング中は目がねをかけているそうです。"
ぬこたんの運動会の楽しみといえば、、、,one_answer,お弁当くらいしかなかった。,クラス対抗リレーに参加すること。,応援団で応援すること。,簡単な玉入れくらいしかなかった。,2,「お弁当くらいしかなかった」です。
子供の頃唯一得意だったスポーツはどれでしょう？,one_answer,鉄棒,水泳,スケート,卓球,2,"「鉄棒」です。
たぶん今は逆上がりも出来ないそうです。"
鬼子母神発売時のぬこたんの心境をもっとも的確に表しているものはどれでしょう？,one_answer,「ふおおおお！「鬼子母神」発売したよー！うひゃほーう！！」,「「鬼子母神」是非聴いてみてくださいね。」,「ついに「鬼子母神」発売しちゃいました！」,「「鬼子母神」の世界に浸ってくださいね。」,2,"「ふおおおお！「鬼子母神」発売したよー！うひゃほーう！！」です。
冷静ではいられなくなっていたようです。"
鬼子母神完成記念でぬこたんが購入したものはどれでしょう？,one_answer,ル・クルーゼのタジン鍋,ムーミン谷のマグカップ,ネコミミフード,iPhone,2,"「ル・クルーゼのタジン鍋」です。
流行より2年ほど遅れてのタジン鍋購入を周囲に報告したら、全員から「遅っ！！」と言われましたそうです。"
「絶界の鬼子母神」リハーサル中、エレアコを手にしたぬこたんが行ったことは、、、,one_answer,コードCのみで「かえるの歌」をむりやり熱唱,コードFのセーハコードが弾けてしまった！,メタルの基本であるコードEmでジャラ～ン,コードGが意外と押さえやすいことに気がついた！,2,"「コードCのみで「かえるの歌」をむりやり熱唱」です。
ギターの弾き語りが出来るのって憧れちゃう！でもぬこたんには到底無理でしたそうです。"
ぬこたん公認「全然役に立たない陰陽座豆知識」は次のどれでしょう？,one_answer,ぬこたんとｶﾙｶｿは髪の分け目が同じでハネる部分やハネ方のクセも全く同じ,ぬこたんは早寝が得意で招鬼は早起きが得意,ぬこたんと兄上は説明書を読み飛ばす,ぬこたんと兄上は離島マニア,3,「ぬこたんとｶﾙｶｿは髪の分け目が同じでハネる部分やハネ方のクセも全く同じ」です。
ぬこたんの持ちポーズを2つ選んでください。,two_answer,開始のポーズ,歌入れ終了のポーズ,かえるのポーズ,いただきますのポーズ,2,"「開始のポーズ」と「歌入れ終了のポーズ」です。
よく似ていますが、開始のポーズは右手を掲げているのに対し、歌入れ終了のポーズは左手を掲げています。"
「絶界の鬼子母神」ツアー終了後、名残惜しさのあまり、ぬこたんがつぶやいた名言はどれでしょう？,one_answer,「あー、あー。終わっちゃったあ。」,「ふおおおお！終わっちゃったあ。」,「また最初からツアーやりたい！」,「ばいっ、にゃら～～ん♪」,2,"「あー、あー。終わっちゃったあ。」です。
童心に帰ったかのような台詞まわしがステキですね。"
広島で食べた銘菓はどれでしょう？,one_answer,もみじまんじゅう,桜餅,川通り餅,みせん煎餅,3,「もみじまんじゅう」です。
「夏鶯の聲に酔う也」ツアー仙台公演でステージに誕生しかけたものはどれでしょう？,one_answer,黒ね湖,瞬火湖,かるかる湖,まねき湖,2,"誕生「しかけた」と書かれているのは「黒ね湖」です。
「瞬火湖」は実際に誕生しました。伝説のライブといえましょう。"
新潟で食べた美味しいちゃんはどれでしょう？,one_answer,佐渡エゴ,しんこ,じんだ,醤油赤飯,4,"「佐渡エゴ」です。
海草を煮詰めて固めたものを細く切って、酢味噌と合わせたもので、ツルッとした食感と酢味噌の風味がマッチして、夏にピッタリだそうです。"
「夏鶯の聲に酔う也」ツアーで、ぬこたん聖誕祭となった場所はどこでしょう？,one_answer,長野公演,大阪公演,川崎公演,札幌公演,3,"「長野公演」です。
伝説のライブでした。徒然なるぬこたん(*´Д`)ﾊｧﾊｧにレポートがありますのでよろしければそちらも参照ください。"
ぬこたんが愛用しているステージメイク用の筆はどれでしょう？,one_answer,熊野筆,奈良筆,長野筆,愛媛筆,3,"「熊野筆」です。
筆では一番有名なブランドでしょうか。"
台湾で食べた美味しいちゃんを2つ選んでください。,two_answer,紅豆餅,愛玉,鳳梨酥,黑嘉麗,4,"「紅豆餅」と「愛玉」です。
東京にも老舗の愛玉専門店があります。"
台湾で買ってきたお茶を2つ選んでください。,two_answer,台湾限定茶セット,天仁茗茶,凍頂烏龍茶,金萱茶,4,"「台湾限定茶セット」と「天仁茗茶」です。
どちらもすごく香りが良くて美味しいようです。"
2012年にCANON EOS 40Dから乗り換えたカメラはどれでしょう？,one_answer,CANON EOS 7D,CANON EOS Kiss X7,ニコン D4S,ライカ ライカM,3,"「CANON EOS 7D」です。
40Dより重量がありますが、ホールド感も良く、画もどっしりしていて大満足とのことです。"
紅茶大好きなぬこたん、コーヒーのほうは、、、,one_answer,大好きなのです,飲めないのです,少し苦手なのです,別に普通なのです,2,"コーヒーミルを所持しているほど「大好きなのです」です。
"
ぬこたんがコレクションしている音楽関係のアイテムはどれでしょう？,one_answer,アンプの真空管,ピック,シールド,スティック,2,"「アンプの真空管」です。
真空管そのものもカッコイイし、パッケージのデザインも面白いものが多くて楽しいそうです。"
2013年、ぬこたんが注目していた梅雨の時期のイベントはどれでしょう？,one_answer,箱根あじさい電車,富士見農園いちご狩り,伊豆アニマルキングダム,伊豆フルーツパーク,2,"「箱根あじさい電車」です。
箱根登山鉄道の沿線にアジサイがたくさん植えてあって、車窓から眺められるそうなのです。夜間はライトアップされるんだそうです。"
名古屋で食べた美味しいちゃんはどれでしょう？,one_answer,はまぐり料理,味噌煮込みうどん,五平餅,切り干しなます,4,"「はまぐり料理」です。
今まで食べたことないぐらいプリップリかつジューシーなはまぐりで、もう最高に美味しかったとのことです。"
ぬこたんジャンプのときの掛け声はどれでしょう？,one_answer,にゃーんぷ！！,じゃーんぷ！！,ふえええい！！,むぅん！！,2,「にゃーんぷ！！」です
ぬこたんの髪はカラーリングやパーマを入れている？,one_answer,入れていない,入れている,,,1,"「入れていません」。
「真っ黒に染めてますか？」とか「青を入れてますか？」と聞かれることがあるのですが、もともとが濃い黒髪なので何もせずそのままの色にしていますとのことです。"
ぬこたんの所持しているタイプライターのメーカーはどこでしょう？,one_answer,Smith Corona,PERKINS BRAILLER,Imperial,OLIVETTI,3,"「Smith Corona」です。
1930年製ですが、しっかり動きますそうです。"